"prt";"aasta";"kord";"mxkord";"kordev";"rinnv";"puu";"pl";"asim";"kaug";"d";"h";"rikked";"raadius";"hp";"v"
101;2004;2;4;1;"K";53;"KU";74;15,5;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";53;"KU";74;15,5;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";53;"KU";74;15,5;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";54;"KS";85;11,5;7,7;NA;NA;20;13,8177032143393;0,0298328829210977
101;2004;2;4;1;"K";54;"KS";85;11,5;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";54;"KS";85;11,5;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";54;"KS";85;11,5;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";55;"KS";83;13,6;12,4;NA;"6K";20;18,8419429926502;0,105973182746254
101;2004;2;4;1;"K";55;"KS";83;13,6;NA;NA;"6K";30;NA;NA
101;2009;3;4;1;"K";55;"KS";83;13,6;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";55;"KS";83;13,6;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";56;"KS";88,5;13,2;13,25;20,4;NA;20;19,5172452598229;0,125077106479368
101;2004;2;4;1;"K";56;"KS";88,5;13,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";56;"KS";88,5;13,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";56;"KS";88,5;13,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";57;"KU";87,5;13,4;6,65;NA;"10T";20;NA;NA
101;2004;2;4;1;"K";57;"KU";87,5;13,4;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";57;"KU";87,5;13,4;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";57;"KU";87,5;13,4;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";58;"KU";85;15,7;8,3;NA;"10T";20;NA;NA
101;2004;2;4;1;"K";58;"KU";85;15,7;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";58;"KU";85;15,7;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";58;"KU";85;15,7;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";59;"KU";83;18,6;17,9;NA;"10T";20;17,0360355375932;0,213185513297068
101;2004;2;4;1;"K";59;"KU";83;18,6;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";59;"KU";83;18,6;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";59;"KU";83;18,6;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";60;"KU";89,4;7,5;5,5;4,3;NA;20;NA;NA
101;2004;2;4;1;"K";60;"KU";89,4;7,5;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";60;"KU";89,4;7,5;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";60;"KU";89,4;7,5;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";61;"KU";89,5;16,8;15,6;NA;"10T";20;NA;NA
101;2004;2;4;1;"K";61;"KU";89,5;16,8;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";61;"KU";89,5;16,8;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";61;"KU";89,5;16,8;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";62;"KU";92;16,1;11,1;NA;"10T";20;NA;NA
101;2004;2;4;1;"K";62;"KU";92;16,1;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";62;"KU";92;16,1;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";62;"KU";92;16,1;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";63;"KS";94;17;10,25;NA;NA;20;16,8537671898588;0,0650015989895251
101;2004;2;4;1;"K";63;"KS";94;17;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";63;"KS";94;17;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";63;"KS";94;17;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";64;"KU";98,5;16,8;12,6;NA;"10N";20;NA;NA
101;2004;2;4;1;"K";64;"KU";98,5;16,8;NA;0;"10N";30;NA;NA
101;2009;3;4;1;"K";64;"KU";98,5;16,8;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";64;"KU";98,5;16,8;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";65;"KU";96;18,7;4,5;NA;NA;20;NA;NA
101;2004;2;4;1;"K";65;"KU";96;18,7;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";65;"KU";96;18,7;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";65;"KU";96;18,7;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";66;"KS";96,5;19,9;10,6;NA;NA;20;17,2083137479531;0,0709581929859094
101;2004;2;4;1;"K";66;"KS";96,5;19,9;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";66;"KS";96,5;19,9;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";66;"KS";96,5;19,9;NA;NA;NA;30;NA;NA
101;1999;1;4;4;"1";67;"KS";97;17,5;13,55;NA;NA;20;19,7427528223145;0,132215508491467
101;2004;2;4;4;"1";67;"KS";97;17,5;13,85;NA;NA;30;19,7841023961764;0,138321024724791
101;2009;3;4;4;"1";67;"KS";97;17,5;14,8;NA;NA;30;20,9489711919527;0,166808021599827
101;2014;4;4;4;"1";67;"KS";97;17,5;15,4;NA;NA;30;21,3179460615077;0,183496457452886
101;1999;1;4;1;"1";68;"KS";105;16,3;9,9;14,2;NA;20;16,4857347467625;0,0593202304270311
101;2004;2;4;1;"K";68;"KS";105;16,3;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";68;"KS";105;16,3;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";68;"KS";105;16,3;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";69;"KU";98;14,4;11,35;NA;"10T";20;NA;NA
101;2004;2;4;1;"K";69;"KU";98;14,4;NA;NA;"10T";30;NA;NA
101;2009;3;4;1;"K";69;"KU";98;14,4;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";69;"KU";98;14,4;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"2";70;"KU";103,5;11,9;6,75;NA;NA;20;NA;NA
101;2004;2;4;1;"K";70;"KU";103,5;11,9;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";70;"KU";103,5;11,9;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";70;"KU";103,5;11,9;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";71;"LM";104,5;11,2;14,05;NA;NA;20;20,6785722090058;0,151586325348452
101;2004;2;4;1;"K";71;"LM";104,5;11,2;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";71;"LM";104,5;11,2;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";71;"LM";104,5;11,2;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";72;"LM";99,5;11,1;13,05;NA;NA;20;20,5904047799659;0,130285118455133
101;2004;2;4;1;"K";72;"LM";99,5;11,1;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";72;"LM";99,5;11,1;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";72;"LM";99,5;11,1;NA;NA;NA;30;NA;NA
101;1999;1;4;1;"1";73;"LM";100,5;11,8;19,35;NA;NA;20;20,9981477933308;0,29157730327995
101;2004;2;4;1;"K";73;"LM";100,5;11,8;NA;NA;NA;30;NA;NA
101;2009;3;4;1;"K";73;"LM";100,5;11,8;NA;NA;NA;30;NA;NA
101;2014;4;4;1;"K";73;"LM";100,5;11,8;NA;NA;NA;30;NA;NA
